 Coarse-grained water
 
        2180 atoms
 
           1 atom types
 
  0.0000000E+00   4.0310000000000      xlo xhi
  0.0000000E+00   4.0310000000000      ylo yhi
  0.0000000E+00   4.0310000000000      zlo zhi

 Masses

1 18.01540

 Atoms
 
1 1 2.815 0.543 0.237
2 1 0.189 2.957 1.761
3 1 0.892 3.556 0.824
4 1 2.307 0.960 0.471
5 1 1.688 0.894 0.388
6 1 2.571 1.277 1.056
7 1 2.788 3.328 0.013
8 1 3.287 0.205 1.368
9 1 0.490 2.183 1.751
10 1 0.967 3.108 1.843
11 1 1.233 0.349 1.091
12 1 0.663 1.581 3.455
13 1 3.951 2.047 2.288
14 1 3.977 3.173 0.906
15 1 0.537 0.894 3.646
16 1 2.129 3.853 3.468
17 1 1.987 2.677 3.762
18 1 2.658 3.167 0.228
19 1 1.231 3.336 1.098
20 1 0.731 1.410 1.654
21 1 3.388 2.584 1.677
22 1 1.115 0.307 3.992
23 1 3.171 3.195 2.267
24 1 0.596 3.507 1.230
25 1 2.904 0.174 0.946
26 1 1.539 2.686 0.203
27 1 0.389 2.148 2.877
28 1 0.455 2.800 2.431
29 1 0.968 3.992 2.964
30 1 0.256 3.939 2.987
31 1 0.496 2.280 0.623
32 1 2.795 3.511 0.981
33 1 3.254 3.032 3.025
34 1 2.292 3.033 1.730
35 1 0.219 2.025 3.929
36 1 0.946 3.815 0.695
37 1 2.409 2.885 0.773
38 1 3.711 3.888 3.314
39 1 3.492 1.987 0.824
40 1 0.135 3.799 3.885
41 1 3.289 3.289 1.859
42 1 3.337 1.603 3.141
43 1 0.512 0.654 3.231
44 1 0.508 0.364 2.178
45 1 0.709 1.072 1.911
46 1 2.804 1.444 2.027
47 1 2.972 3.928 2.997
48 1 2.170 3.263 3.100
49 1 3.063 0.894 0.341
50 1 0.240 1.484 2.534
51 1 2.128 3.944 1.892
52 1 3.616 3.993 1.443
53 1 2.416 2.414 1.280
54 1 3.177 1.047 1.568
55 1 4.024 1.188 3.343
56 1 0.604 1.367 4.028
57 1 1.537 3.589 0.693
58 1 1.231 0.222 1.471
59 1 0.345 0.481 2.487
60 1 1.589 0.252 1.705
61 1 3.705 3.620 0.673
62 1 3.777 2.710 4.029
63 1 0.826 2.033 -0.001
64 1 0.821 3.558 1.717
65 1 3.338 1.389 2.210
66 1 1.454 0.165 1.300
67 1 1.977 3.489 1.751
68 1 0.563 0.422 3.875
69 1 0.757 2.576 1.371
70 1 0.934 3.392 3.538
71 1 2.116 0.859 1.475
72 1 2.328 4.022 1.138
73 1 1.298 3.479 2.338
74 1 2.232 3.339 0.532
75 1 0.329 3.240 2.024
76 1 3.794 3.982 0.179
77 1 1.111 1.440 2.301
78 1 2.556 1.714 1.684
79 1 0.250 2.474 2.028
80 1 1.692 3.837 1.303
81 1 0.631 2.551 3.960
82 1 2.402 1.966 2.905
83 1 2.216 0.950 2.543
84 1 2.006 3.431 0.426
85 1 2.198 0.867 2.806
86 1 1.465 2.763 0.834
87 1 3.975 0.387 3.701
88 1 2.952 0.734 0.531
89 1 2.759 1.589 3.402
90 1 3.746 3.945 2.486
91 1 2.370 2.429 2.803
92 1 1.270 1.653 2.314
93 1 1.653 2.786 2.885
94 1 3.146 0.234 0.832
95 1 3.406 2.124 2.389
96 1 0.513 1.574 0.836
97 1 3.087 0.602 2.295
98 1 3.607 3.674 0.920
99 1 2.507 2.107 3.778
100 1 3.351 0.487 1.301
101 1 2.978 1.879 1.277
102 1 2.496 4.045 3.900
103 1 3.761 3.179 0.254
104 1 0.260 0.680 3.347
105 1 2.570 3.173 1.831
106 1 0.946 1.524 2.542
107 1 2.255 2.515 0.219
108 1 1.902 1.988 3.138
109 1 0.945 3.164 2.652
110 1 0.681 0.942 1.463
111 1 1.651 0.520 2.836
112 1 2.234 2.475 3.956
113 1 3.805 2.946 0.908
114 1 3.553 1.590 1.032
115 1 2.565 3.402 1.062
116 1 1.554 0.541 3.926
117 1 2.449 1.282 1.305
118 1 0.159 3.743 3.398
119 1 1.954 0.957 1.179
120 1 0.987 1.497 1.872
121 1 2.925 3.397 0.765
122 1 2.738 3.514 2.980
123 1 3.704 0.231 2.189
124 1 1.988 1.471 0.016
125 1 1.118 1.476 3.354
126 1 0.031 2.588 3.313
127 1 3.437 2.586 2.337
128 1 3.931 3.398 3.424
129 1 0.707 3.063 2.188
130 1 0.184 1.104 1.974
131 1 1.924 3.244 3.670
132 1 1.675 3.463 1.524
133 1 1.670 3.557 2.765
134 1 3.999 3.970 2.385
135 1 3.096 0.599 1.962
136 1 2.357 1.297 2.012
137 1 0.501 1.524 3.843
138 1 0.618 1.152 2.331
139 1 0.120 2.550 2.334
140 1 0.421 2.882 0.146
141 1 0.575 2.729 0.730
142 1 2.792 0.698 2.345
143 1 0.915 0.154 3.415
144 1 3.475 3.229 2.751
145 1 2.668 0.235 2.394
146 1 3.942 0.827 2.016
147 1 0.779 0.933 2.277
148 1 3.106 3.520 1.946
149 1 1.154 0.467 2.609
150 1 3.318 3.935 3.181
151 1 3.033 0.329 1.594
152 1 2.314 0.123 0.063
153 1 2.688 1.040 1.937
154 1 2.805 3.313 1.849
155 1 3.801 1.582 2.545
156 1 2.225 0.368 0.094
157 1 3.259 2.797 1.170
158 1 1.934 1.035 0.004
159 1 2.211 1.586 0.428
160 1 2.636 2.283 3.116
161 1 0.306 1.832 3.778
162 1 4.009 3.503 0.848
163 1 2.116 3.349 2.047
164 1 2.972 2.068 0.816
165 1 2.669 0.095 0.766
166 1 0.436 0.629 2.123
167 1 3.325 3.367 1.095
