Hartree,,
,electron,hole
UxX,-552.144002456496,-551.882465268246
UnN,-552.202700032865,-552.202700032865
UnX,-552.195571315781,-552.195686559993
UxN,-552.13709589503,-551.86147915008
,,
Hartree,,
UxX_nN,0.058697576369013,0.320234764618931
UnX_nN,0.007128717084015,0.007013472872018
UxN_xX,0.006906561465939,0.020986118166093
,,
eV,,27.2114
UxX_nN,1.59724322960777,8.71403627395158
UnX_nN,0.193982372059968,0.190846415709622
UxN_xX,0.187937206674263,0.571061655864813
